Title,link,Price,Details
Samsung Galaxy S24+,https://images.ctfassets.net/t00ajdlq0g9p/2swufagEHBfZWsND3GQGCM/acb574d20c57646edf1ae07b153a391d/samsung-galaxy-s24-Plus-black-main.png?h=269&w=403&fm=webp&q=100,$30.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,728.99,"
iPhone 12,https://images.ctfassets.net/t00ajdlq0g9p/7FD60LS70ADulmHYrvcAlN/0f3c2388a0f38f59b694ca971919b0cc/iPhone-12-black-01.png?h=269&w=403&fm=webp&q=100,$15.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $801.36,"
Samsung Galaxy S23,https://images.ctfassets.net/t00ajdlq0g9p/6cBs3ZbMHUcVfhPFEZVGJF/00b1b60335cb42ef29c22d2927cde988/samsung-galaxy-s23Plus-black-front.png?h=269&w=403&fm=webp&q=100,$40.42 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,197.94,"
motorola edge - 2024,https://images.ctfassets.net/t00ajdlq0g9p/2qjGWt2Gc6KmPH6Sm20M1h/ffb6612ba63be4d83f5ac1344b51a73e/motorola-manaus-front.png?h=269&w=403&fm=webp&q=100,$5.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $715.00,"
Samsung Galaxy Z Fold6,https://images.ctfassets.net/t00ajdlq0g9p/LycoYk9Ag19YF720NUcDn/ee6eca2fb94d397c48805be447585501/samsung-fold6-silvershadow-open.png?h=269&w=403&fm=webp&q=100,$86.87 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $2,999.99,"
moto g power - 2024,https://images.ctfassets.net/t00ajdlq0g9p/6lFjSyWQO6nLCgTBaJzqjo/7dd43ee43040791ca74e1d952722f621/motorola-power-5G-front.png?h=269&w=403&fm=webp&q=100,$5.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $399.99,"
TCL 50 XE NXTPAPER 5G,https://images.ctfassets.net/t00ajdlq0g9p/7MHDKR6U7iUJ7fQ9YbD03Y/26b60f3bf2010bceab91061342714bf9/TCL-dragonfly-group.png?h=269&w=403&fm=webp&q=100,$5.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $310.00,"
Samsung Galaxy S22+,https://images.ctfassets.net/t00ajdlq0g9p/4f7ogq7UyJ42U5tOw4fLkK/e3bc7f42a964092fc6568f04bde0384e/galaxy-s22_-black-front.png?h=269&w=403&fm=webp&q=100,$10.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,000.00,"
iPhone 13,https://images.ctfassets.net/t00ajdlq0g9p/QZsnQ9PfOnsK1cVGreAHH/86f358dddccfea146aa81789a3b761bf/iPhone13-midnight-front.png?h=269&w=403&fm=webp&q=100,$29.97 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $719.28,"
Samsung Galaxy S24 Ultra,https://images.ctfassets.net/t00ajdlq0g9p/4aLpzHCEhzyJAjNwaW0QPN/d5a61cafd7f07301dee2cbfc8d2f2471/samsung-galaxy-s24-Ultra-gray-main.png?h=269&w=403&fm=webp&q=100,$75.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $2,222.99,"
iPhone 15 Pro,https://images.ctfassets.net/t00ajdlq0g9p/148MwoEnIU1Fx1zNcciAwG/a43bd8dd38ecc7a7d2d3047200edcbbb/apple-15-Pro-black-pos1.png?h=269&w=403&fm=webp&q=100,$55.63 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,335.00,"
Samsung Galaxy A15 5G,https://images.ctfassets.net/t00ajdlq0g9p/6ZReh2cyX1tX2XLzyMRg5D/9731adcf76776cf89ad8b6a57985472b/Frame_8.png?h=269&w=403&fm=webp&q=100,$11.25 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $316.00,"
Samsung Galaxy A54 5G,https://images.ctfassets.net/t00ajdlq0g9p/XykZR9VCE2xYOgh48e53X/8b443bec7c6f23366acdb16db2cb8a2d/samsung-a54-front.png?h=269&w=403&fm=webp&q=100,$24.58 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $690.00,"
